area,Territorio,fascia,value
PIE,Piemonte,20-29,406070
PIE,Piemonte,30-39,451907
PIE,Piemonte,40-49,612019
PIE,Piemonte,50-59,691130
PIE,Piemonte,60-69,558525
PIE,Piemonte,70-79,474629
PIE,Piemonte,80-89,307556
PIE,Piemonte,90+,64839
PIE,Piemonte,tot,4274945
PUG,Puglia,0-4,144322
PUG,Puglia,05-11,242876
PUG,Puglia,12-19,319290
PUG,Puglia,20-29,429105
PUG,Puglia,30-39,449132
PUG,Puglia,40-49,571543
PUG,Puglia,50-59,606688
PUG,Puglia,60-69,495989
PUG,Puglia,70-79,399668
PUG,Puglia,80-89,227055
PUG,Puglia,90+,48109
PUG,Puglia,tot,3933777
SAR,Sardegna,0-4,47182
SAR,Sardegna,05-11,86051
SAR,Sardegna,12-19,108352
SAR,Sardegna,20-29,144882
SAR,Sardegna,30-39,175724
SAR,Sardegna,40-49,242857
SAR,Sardegna,50-59,265216
SAR,Sardegna,60-69,225570
SAR,Sardegna,70-79,173574
SAR,Sardegna,80-89,98479
SAR,Sardegna,90+,22157
SAR,Sardegna,tot,1590044
SIC,Sicilia,0-4,199334
SIC,Sicilia,05-11,314869
SIC,Sicilia,12-19,401213
SIC,Sicilia,20-29,532526
SIC,Sicilia,30-39,571206
SIC,Sicilia,40-49,682702
SIC,Sicilia,50-59,729464
SIC,Sicilia,60-69,610639
SIC,Sicilia,70-79,467157
SIC,Sicilia,80-89,268964
SIC,Sicilia,90+,55631
SIC,Sicilia,tot,4833705
TOS,Toscana,0-4,125266
TOS,Toscana,05-11,216952
TOS,Toscana,12-19,267637
TOS,Toscana,20-29,343044
TOS,Toscana,30-39,399305
TOS,Toscana,40-49,546960
TOS,Toscana,50-59,593698
TOS,Toscana,60-69,466851
TOS,Toscana,70-79,407411
TOS,Toscana,80-89,263596
TOS,Toscana,90+,62145
TOS,Toscana,tot,3692865
PAT,Trento,0-4,22076
PAT,Trento,05-11,36635
PAT,Trento,12-19,44486
PAT,Trento,20-29,58115
PAT,Trento,30-39,60878
PAT,Trento,40-49,76436
PAT,Trento,50-59,85620
PAT,Trento,60-69,67386
PAT,Trento,70-79,52418
PAT,Trento,80-89,30445
PAT,Trento,90+,7671
PAT,Trento,tot,542166
UMB,Umbria,0-4,29321
UMB,Umbria,05-11,51175
UMB,Umbria,12-19,63247
UMB,Umbria,20-29,80905
UMB,Umbria,30-39,94269
UMB,Umbria,40-49,124796
UMB,Umbria,50-59,135493
UMB,Umbria,60-69,111695
UMB,Umbria,70-79,95158
UMB,Umbria,80-89,63854
UMB,Umbria,90+,15539
UMB,Umbria,tot,865452
VDA,Valle d'Aosta / Vallée d'Aoste,0-4,4344
VDA,Valle d'Aosta / Vallée d'Aoste,05-11,7747
VDA,Valle d'Aosta / Vallée d'Aoste,12-19,9473
VDA,Valle d'Aosta / Vallée d'Aoste,20-29,11838
VDA,Valle d'Aosta / Vallée d'Aoste,30-39,13008
VDA,Valle d'Aosta / Vallée d'Aoste,40-49,17961
VDA,Valle d'Aosta / Vallée d'Aoste,50-59,20985
VDA,Valle d'Aosta / Vallée d'Aoste,60-69,16119
VDA,Valle d'Aosta / Vallée d'Aoste,70-79,13040
VDA,Valle d'Aosta / Vallée d'Aoste,80-89,7805
VDA,Valle d'Aosta / Vallée d'Aoste,90+,1769
VDA,Valle d'Aosta / Vallée d'Aoste,tot,124089
VEN,Veneto,0-4,178392
VEN,Veneto,05-11,303045
VEN,Veneto,12-19,374814
VEN,Veneto,20-29,485214
VEN,Veneto,30-39,527661
VEN,Veneto,40-49,721884
VEN,Veneto,50-59,808397
VEN,Veneto,60-69,610203
VEN,Veneto,70-79,495897
VEN,Veneto,80-89,298442
VEN,Veneto,90+,65881
VEN,Veneto,tot,4869830
